Year,Observation status,Unit multiplier,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Value
2016,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,,,Percent,28.1
2016,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,65 years old and over,Percent,0.7
2019,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,65 years old and over,Percent,1.5
2021,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,65 years old and over,Percent,1.5
2022,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,65 years old and over,Percent,0.3
2025,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,65 years old and over,Percent,1.0
2016,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,15 to 24 years old,Percent,32.0
2019,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,15 to 24 years old,Percent,34.7
2021,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,15 to 24 years old,Percent,34.7
2022,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,15 to 24 years old,Percent,30.0
2025,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,15 to 24 years old,Percent,25.1
2016,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,25 to 34 years old,Percent,41.7
2019,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,25 to 34 years old,Percent,37.9
2021,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,25 to 34 years old,Percent,37.9
2022,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,25 to 34 years old,Percent,41.2
2025,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,25 to 34 years old,Percent,42.0
2016,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,35 to 44 years old,Percent,14.9
2019,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,35 to 44 years old,Percent,17.5
2021,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,35 to 44 years old,Percent,17.5
2022,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,35 to 44 years old,Percent,20.4
2025,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,35 to 44 years old,Percent,19.6
2016,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,45 to 54 years old,Percent,8.2
2019,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,45 to 54 years old,Percent,6.0
2021,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,45 to 54 years old,Percent,6.0
2022,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,45 to 54 years old,Percent,6.6
2025,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,45 to 54 years old,Percent,8.9
2016,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,55 to 64 years old,Percent,2.4
2019,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,55 to 64 years old,Percent,2.5
2021,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,55 to 64 years old,Percent,2.5
2022,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,55 to 64 years old,Percent,1.5
2025,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Female,55 to 64 years old,Percent,3.3
2016,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,65 years old and over,Percent,0.9
2019,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,65 years old and over,Percent,0.5
2021,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,65 years old and over,Percent,0.5
2022,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,65 years old and over,Percent,0.3
2025,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,65 years old and over,Percent,0.9
2016,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,15 to 24 years old,Percent,33.0
2019,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,15 to 24 years old,Percent,32.5
2021,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,15 to 24 years old,Percent,32.5
2022,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,15 to 24 years old,Percent,30.3
2025,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,15 to 24 years old,Percent,25.2
2016,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,25 to 34 years old,Percent,40.7
2019,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,25 to 34 years old,Percent,45.6
2021,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,25 to 34 years old,Percent,35.6
2022,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,25 to 34 years old,Percent,39.6
2025,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,25 to 34 years old,Percent,36.3
2016,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,35 to 44 years old,Percent,14.4
2019,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,35 to 44 years old,Percent,14.2
2021,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,35 to 44 years old,Percent,14.2
2022,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,35 to 44 years old,Percent,21.0
2025,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,35 to 44 years old,Percent,24.2
2016,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,45 to 54 years old,Percent,8.4
2019,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,45 to 54 years old,Percent,5.2
2021,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,45 to 54 years old,Percent,5.2
2022,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,45 to 54 years old,Percent,6.8
2025,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,45 to 54 years old,Percent,9.0
2016,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,55 to 64 years old,Percent,2.6
2019,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,55 to 64 years old,Percent,2.0
2021,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,55 to 64 years old,Percent,2.0
2022,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,55 to 64 years old,Percent,2.0
2025,Normal value,Units,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",Eswatini,Male,55 to 64 years old,Percent,5.4
