Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2016,A,0,"MICS 2021/22, CSO",SH_SAN_SAFE,748,,PT,53.0
2019,A,0,"MICS 2021/22, CSO",SH_SAN_SAFE,748,,PT,53.0
2021,A,0,"MICS 2021/22, CSO",SH_SAN_SAFE,748,,PT,46.0
2022,A,0,"MICS 2021/22, CSO",SH_SAN_SAFE,748,,PT,46.0
2025,A,0,"MICS 2021/22, CSO",SH_SAN_SAFE,748,,PT,59.4
2016,A,0,"MICS 2021/22, CSO",SH_SAN_SAFE,748,R,PT,55.0
2019,A,0,"MICS 2021/22, CSO",SH_SAN_SAFE,748,R,PT,55.0
2021,A,0,"MICS 2021/22, CSO",SH_SAN_SAFE,748,R,PT,47.8
2022,A,0,"MICS 2021/22, CSO",SH_SAN_SAFE,748,R,PT,47.8
2025,A,0,"MICS 2021/22, CSO",SH_SAN_SAFE,748,R,PT,62.8
2016,A,0,"MICS 2021/22, CSO",SH_SAN_SAFE,748,U,PT,47.5
2019,A,0,"MICS 2021/22, CSO",SH_SAN_SAFE,748,U,PT,47.5
2021,A,0,"MICS 2021/22, CSO",SH_SAN_SAFE,748,U,PT,42.3
2022,A,0,"MICS 2021/22, CSO",SH_SAN_SAFE,748,U,PT,42.3
2025,A,0,"MICS 2021/22, CSO",SH_SAN_SAFE,748,U,PT,49.0
