Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2016,A,0,SL_TLF_UEM,748,,,PT,28.1
2016,A,0,SL_TLF_UEM,748,F,Y_GE65,PT,0.7
2019,A,0,SL_TLF_UEM,748,F,Y_GE65,PT,1.5
2021,A,0,SL_TLF_UEM,748,F,Y_GE65,PT,1.5
2022,A,0,SL_TLF_UEM,748,F,Y_GE65,PT,0.3
2025,A,0,SL_TLF_UEM,748,F,Y_GE65,PT,1.0
2016,A,0,SL_TLF_UEM,748,F,Y15T24,PT,32.0
2019,A,0,SL_TLF_UEM,748,F,Y15T24,PT,34.7
2021,A,0,SL_TLF_UEM,748,F,Y15T24,PT,34.7
2022,A,0,SL_TLF_UEM,748,F,Y15T24,PT,30.0
2025,A,0,SL_TLF_UEM,748,F,Y15T24,PT,25.1
2016,A,0,SL_TLF_UEM,748,F,Y25T34,PT,41.7
2019,A,0,SL_TLF_UEM,748,F,Y25T34,PT,37.9
2021,A,0,SL_TLF_UEM,748,F,Y25T34,PT,37.9
2022,A,0,SL_TLF_UEM,748,F,Y25T34,PT,41.2
2025,A,0,SL_TLF_UEM,748,F,Y25T34,PT,42.0
2016,A,0,SL_TLF_UEM,748,F,Y35T44,PT,14.9
2019,A,0,SL_TLF_UEM,748,F,Y35T44,PT,17.5
2021,A,0,SL_TLF_UEM,748,F,Y35T44,PT,17.5
2022,A,0,SL_TLF_UEM,748,F,Y35T44,PT,20.4
2025,A,0,SL_TLF_UEM,748,F,Y35T44,PT,19.6
2016,A,0,SL_TLF_UEM,748,F,Y45T54,PT,8.2
2019,A,0,SL_TLF_UEM,748,F,Y45T54,PT,6.0
2021,A,0,SL_TLF_UEM,748,F,Y45T54,PT,6.0
2022,A,0,SL_TLF_UEM,748,F,Y45T54,PT,6.6
2025,A,0,SL_TLF_UEM,748,F,Y45T54,PT,8.9
2016,A,0,SL_TLF_UEM,748,F,Y55T64,PT,2.4
2019,A,0,SL_TLF_UEM,748,F,Y55T64,PT,2.5
2021,A,0,SL_TLF_UEM,748,F,Y55T64,PT,2.5
2022,A,0,SL_TLF_UEM,748,F,Y55T64,PT,1.5
2025,A,0,SL_TLF_UEM,748,F,Y55T64,PT,3.3
2016,A,0,SL_TLF_UEM,748,M,Y_GE65,PT,0.9
2019,A,0,SL_TLF_UEM,748,M,Y_GE65,PT,0.5
2021,A,0,SL_TLF_UEM,748,M,Y_GE65,PT,0.5
2022,A,0,SL_TLF_UEM,748,M,Y_GE65,PT,0.3
2025,A,0,SL_TLF_UEM,748,M,Y_GE65,PT,0.9
2016,A,0,SL_TLF_UEM,748,M,Y15T24,PT,33.0
2019,A,0,SL_TLF_UEM,748,M,Y15T24,PT,32.5
2021,A,0,SL_TLF_UEM,748,M,Y15T24,PT,32.5
2022,A,0,SL_TLF_UEM,748,M,Y15T24,PT,30.3
2025,A,0,SL_TLF_UEM,748,M,Y15T24,PT,25.2
2016,A,0,SL_TLF_UEM,748,M,Y25T34,PT,40.7
2019,A,0,SL_TLF_UEM,748,M,Y25T34,PT,45.6
2021,A,0,SL_TLF_UEM,748,M,Y25T34,PT,35.6
2022,A,0,SL_TLF_UEM,748,M,Y25T34,PT,39.6
2025,A,0,SL_TLF_UEM,748,M,Y25T34,PT,36.3
2016,A,0,SL_TLF_UEM,748,M,Y35T44,PT,14.4
2019,A,0,SL_TLF_UEM,748,M,Y35T44,PT,14.2
2021,A,0,SL_TLF_UEM,748,M,Y35T44,PT,14.2
2022,A,0,SL_TLF_UEM,748,M,Y35T44,PT,21.0
2025,A,0,SL_TLF_UEM,748,M,Y35T44,PT,24.2
2016,A,0,SL_TLF_UEM,748,M,Y45T54,PT,8.4
2019,A,0,SL_TLF_UEM,748,M,Y45T54,PT,5.2
2021,A,0,SL_TLF_UEM,748,M,Y45T54,PT,5.2
2022,A,0,SL_TLF_UEM,748,M,Y45T54,PT,6.8
2025,A,0,SL_TLF_UEM,748,M,Y45T54,PT,9.0
2016,A,0,SL_TLF_UEM,748,M,Y55T64,PT,2.6
2019,A,0,SL_TLF_UEM,748,M,Y55T64,PT,2.0
2021,A,0,SL_TLF_UEM,748,M,Y55T64,PT,2.0
2022,A,0,SL_TLF_UEM,748,M,Y55T64,PT,2.0
2025,A,0,SL_TLF_UEM,748,M,Y55T64,PT,5.4
